"url","type","words","h2","h3","faqs","tables","internal_links_out","unique_opening_25_words"
"https://hotdogtrays.com/","hub","2083","11","35","8","1","105",""
"https://hotdogtrays.com/about/","page","738","8","24","0","0","79",""
"https://hotdogtrays.com/contact/","page","386","6","11","0","0","82",""
"https://hotdogtrays.com/faq/","page","1882","7","8","30","0","82",""
"https://hotdogtrays.com/footlong-hot-dog-trays/","guide","1361","12","18","10","1","90",""
"https://hotdogtrays.com/get-quote/","page","681","6","24","0","0","77",""
"https://hotdogtrays.com/hot-dog-containers-to-go/","guide","1287","12","18","10","1","90",""
"https://hotdogtrays.com/hot-dog-tray-material-guide/","guide","1256","12","18","10","1","90",""
"https://hotdogtrays.com/hot-dog-tray-sizes/","guide","1543","12","18","10","1","90",""
"https://hotdogtrays.com/hot-dog-trays-for-catering/","guide","1213","12","18","10","1","90",""
"https://hotdogtrays.com/hot-dog-trays-for-concession-stands/","guide","1201","12","18","10","1","90",""
"https://hotdogtrays.com/hot-dog-trays-for-food-trucks/","guide","1234","12","18","10","1","90",""
"https://hotdogtrays.com/hot-dog-trays-in-bulk/","guide","1279","12","18","10","1","90",""
"https://hotdogtrays.com/hot-dog-trays-vs-paper-boats/","guide","1291","12","18","10","1","90",""
"https://hotdogtrays.com/paper-vs-plastic-hot-dog-trays/","guide","1269","12","16","10","1","90",""
"https://hotdogtrays.com/privacy-policy/","page","453","10","8","0","0","75",""
"https://hotdogtrays.com/product/cardboard-hot-dog-holders/","product","5610","25","78","23","6","101",""
"https://hotdogtrays.com/product/cardboard-hot-dog-trays/","product","5563","22","73","23","7","101",""
"https://hotdogtrays.com/product/disposable-hot-dog-holders/","product","5236","25","78","23","6","101",""
"https://hotdogtrays.com/product/disposable-hot-dog-trays/","product","4874","20","70","23","7","101",""
"https://hotdogtrays.com/product/hot-dog-boats-paper/","product","5020","23","74","23","7","101",""
"https://hotdogtrays.com/product/hot-dog-container-paper/","product","5680","25","80","23","5","101",""
"https://hotdogtrays.com/product/hot-dog-food-tray/","product","5235","22","72","23","7","101",""
"https://hotdogtrays.com/product/hot-dog-paper-holders/","product","5480","22","74","23","7","101",""
"https://hotdogtrays.com/product/hot-dog-plates/","product","5466","22","71","23","7","101",""
"https://hotdogtrays.com/product/hot-dog-serving-tray/","product","4815","21","72","23","6","101",""
"https://hotdogtrays.com/product/kraft-hot-dog-tray/","product","5558","25","78","23","5","101",""
"https://hotdogtrays.com/product/paper-hot-dog-trays/","product","5331","25","78","23","6","101",""
"https://hotdogtrays.com/product/plastic-hot-dog-trays/","product","5578","25","78","23","7","101",""
"https://hotdogtrays.com/product/red-and-white-hot-dog-trays/","product","5124","22","73","23","7","101",""
"https://hotdogtrays.com/sample-page/","page","161","0","6","0","0","75",""
"https://hotdogtrays.com/shipping/","page","380","10","6","0","0","75",""
"https://hotdogtrays.com/shop/","hub","220","14","6","0","0","103",""
"https://hotdogtrays.com/terms-conditions/","page","568","12","6","0","0","75",""
